v0.1	Chapter 10 Vocabulary
v	to me	mi
v	to you (informal)	ti
v	to you (formal)	Le
v	to him	gli
v	to her	le
v	to us	ci
v	to y'all	vi
v	to them	gli
v	to prefer	preferire
v	to swim	nuotare
v	to play tennis	giocare a tennis
v	to ride a bike	andare in bicicletta
v	to watch sports on TV	guardare lo sport in televisione
v	basketball	la pallacanestro, il basket
v	soccer	il calcio
v	to understand	capire
v	to finish, to end	finire
v	interessi	interests
v	la passione per	a passion for
v	avere in comune	to share
v	sci di fondo	cross-country skiing
v	sci alpino	Alpine skiing
v	andare in barca a vela	to sail
