v0.1	Days, Months and Numbers
v	Sunday	domencia
v	Monday	Lenedi
v	Tuesday	martedi
v	Wednesday	mercoledi
v	Thursday	Giovedi
v	Friday	venerdi
v	Saturday	sabato
v	1	uno
v	2	due
v	3	tre
v	4	quattro
v	5	cinque
v	6	sei
v	7	sette
v	8	otto
v	9	nove
v	10	dieci
v	11	undici
v	12	dodici
v	13	tredici
v	14	quattordici
v	15	quindici
v	16	sedici
v	17	dicassette
v	18	diciotto
v	19	diciannove
v	20	venti
v	30	trenta
v	40	quaranta
v	50	cinquanta
v	60	sessanta
v	70	settanta
v	80	ottanta
v	90	novanta
v	100	cento
v	January	gennaio
v	February	febbraio
v	March	marzo
v	April	aprile
v	May	maggio
v	June	giugno
v	July	luglio
v	August	agosto
v	September	settembre
v	October	ottobre
v	November	novembre
v	December	dicembre
