How are you? (polite)	come sta?
How are you?	come stai?
I am...	sono...
My name is...	mi chiamo...
And you?	e lei?
And you? (2)	e tu?
Where is...	dov'e'...
Where is there...	dove c'e'...
Where is the bathroom?	dov'e" il bagno?
Where are the toilets?	dove sono i gabinetti?
Where are the shops?	dove sono i negozi?
Excuse me...?	scusi...
I am sorry.	scusi.
I want...	voglio...
I don't want...	non voglio...
I would like...	vorrei...
How much does it cost?	quanto costa?
Do you have?	Ha?...
I would like to go to...	vorrei andare a...
I would like to buy...	vorrei compare...
I would like to see...	vorrei vedere...
I like it...	mi piace...
I don't like it...	non mi piace...
Come?	What?
Come si dice...?	How do you say...?
Come si scrive...?	How do you spell...?
Come si pronuncia...?	How do you pronounce...?
Cosa vuol dire?	What does it mean?
Ripeta, per favore!	Repeat, please!
Capisco.	I understand.
Non capisco.	I don't understand.
Apirte il libro.	Open the book.
Chiudete il libro.	Close the book.
Alla lavagna.	Go to the board.
A posto.	Go back to your seat.
Ecco...	Here is/are..., There is/are...
Ascoltate.	Listen.
Ripetete.	Repeat.
Rispondete.	Answer.
Scrivete.	Write.
Capite?	Do you understand?
