v0.1 Verb Conjugations	
q	io (avere)	ho
q	tu (avere)	hai
q	lui/lei (avere)	ha
q	noi (avere)	abbiamo
q	voi (avere)	avete
q	loro (avere)	hanno
q	io (essere)	sono
q	tu (essere)	sei
q	lui/lei (essere)	e'
q	noi (essere)	siamo
q	voi (essere)	siete
q	loro (essere)	sono
q	io (fare)	faccio
q	tu (fare)	fai
q	lui/lei (fare)	fa
q	noi (fare)	facciamo
q	voi (fare)	fate
q	loro (fare)	fanno
q	io (pagare)	pago
q	tu (pagare)	paghi
q	lui/lei (pagare)	paga
q	noi (pagare)	paghiamo
q	voi (pagare)	pagate
q	loro (pagare)	pagano
q	io (chiamare)	chiamo
q	tu (chiamare)	chiami
q	lui/lei (chiamare)	chiama
q	noi (chiamare)	chiamiamo
q	voi (chiamare)	chiamate
q	loro (chiamare)	chiamano
q	io (prendere)	prendo
q	tu (prendere)	prendi
q	lui/lei (prendere)	prende
q	noi (prendere)	prendiamo
q	voi (prendere)	prendete
q	loro (prendere)	prendono
q	io (lavorare)	lavoro
q	tu (lavorare)	lavori
q	lui/lei (lavorare)	lavora
q	noi (lavorare)	lavoriamo
q	voi (lavorare)	lavorate
q	loro (lavorare)	lavorano
q	io (vivere)	vivo
q	tu (vivere)	vivi
q	lui/lei (vivere)	vive
q	noi (vivere)	viviamo
q	voi (vivere)	vivete
q	loro (vivere)	vivono
q	io (partire)	parto
q	tu (partire)	parti
q	lui/lei (partire)	parte
q	noi (partire)	partiamo
q	voi (partire)	partite
q	loro (partire)	partono
